Price,Close,High,Low,Open,Volume
Ticker,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS
Date,,,,,
2020-08-24,364.70,370.15,360.20,361.19,884976
2020-08-25,367.29,371.64,361.19,367.66,1626992
2020-08-26,364.68,368.66,361.74,368.16,1163882
2020-08-27,363.41,369.95,362.24,366.22,589058
2020-08-28,366.52,379.10,364.18,365.67,2933854
2020-08-31,332.34,373.93,323.95,370.65,4176302
2020-09-01,348.76,353.16,334.33,334.33,1425614
2020-09-02,350.02,354.18,344.43,353.23,677098
2020-09-03,342.64,351.92,341.49,351.92,528330
2020-09-04,328.01,340.30,325.40,340.30,1765918
2020-09-07,323.68,330.30,314.43,330.30,1019238
2020-09-08,320.40,343.28,316.44,323.38,1917682
2020-09-09,319.13,322.39,313.98,318.36,720132
2020-09-10,327.29,331.22,319.65,323.36,469356
2020-09-11,334.90,339.03,323.88,328.36,515118
2020-09-14,348.71,357.56,343.98,345.77,1833212
2020-09-15,348.31,352.51,337.06,348.76,1000598
2020-09-16,354.88,355.72,346.27,348.26,939578
2020-09-17,350.70,352.93,345.77,350.75,309104
2020-09-18,361.47,366.62,351.82,355.62,1478142
2020-09-21,346.14,365.17,343.83,358.21,654362
2020-09-22,332.24,346.14,330.85,346.14,1175870
2020-09-23,325.55,336.82,322.09,332.34,1112154
2020-09-24,315.62,322.39,306.82,322.39,644782
2020-09-25,326.49,332.19,307.29,307.29,1166266
2020-09-28,332.04,336.82,327.81,330.85,699268
2020-09-29,326.54,337.81,323.38,337.81,732324
2020-09-30,325.55,332.16,322.19,328.36,581680
2020-10-01,331.34,334.68,329.35,329.90,447058
2020-10-05,333.56,340.80,331.34,333.33,674416
2020-10-06,365.40,370.00,335.82,335.82,1454950
2020-10-07,360.30,365.40,352.81,365.17,890192
2020-10-08,362.64,365.17,358.21,362.59,491966
2020-10-09,368.66,389.50,358.26,363.66,2112564
2020-10-12,364.58,377.98,360.50,370.67,791088
2020-10-13,370.75,375.80,360.10,363.13,597672
2020-10-14,366.57,373.13,355.85,368.16,1380576
2020-10-15,360.99,375.12,359.48,367.66,757604
2020-10-16,364.08,367.54,358.73,363.18,389180
2020-10-19,382.04,384.53,361.24,364.68,1402150
2020-10-20,392.26,396.47,375.62,375.62,1310886
2020-10-21,384.85,402.61,373.18,393.13,3562514
2020-10-22,387.54,394.53,383.38,386.07,883660
2020-10-23,392.71,396.02,388.13,393.01,424904
2020-10-26,384.30,396.52,382.01,395.20,342112
2020-10-27,392.86,394.55,374.38,384.30,636818
2020-10-28,397.69,403.98,388.38,396.52,1631982
2020-10-29,389.48,402.49,384.55,396.52,745876
2020-10-30,385.75,392.79,385.32,389.05,724496
2020-11-02,382.81,390.40,379.88,385.07,744738
2020-11-03,384.18,394.78,380.67,384.58,624142
2020-11-04,387.86,392.49,384.18,387.98,921176
2020-11-05,377.04,395.02,374.13,390.55,905602
2020-11-06,384.18,392.96,378.61,378.61,833332
2020-11-09,402.39,412.16,388.56,389.70,2278250
2020-11-10,426.57,428.86,405.45,407.96,3751542
2020-11-11,421.47,433.81,401.87,432.84,4045838
2020-11-12,411.42,432.84,406.02,422.39,1418618
2020-11-13,420.00,421.89,398.53,412.93,733104
2020-11-14,424.03,432.16,421.89,422.89,186022
2020-11-17,443.71,449.95,422.89,428.81,3863198
2020-11-18,445.70,470.40,433.83,448.21,5548206
2020-11-19,439.75,454.13,430.92,443.28,1157708
2020-11-20,436.84,446.84,433.53,440.47,631522
2020-11-23,432.66,444.15,430.62,440.30,599688
2020-11-24,435.00,443.61,432.84,440.30,673496
2020-11-25,425.99,437.71,423.38,436.52,903398
2020-11-26,428.38,433.38,420.70,427.36,772924
2020-11-27,417.44,440.22,410.94,435.32,1699800
2020-12-01,434.28,435.32,417.91,422.64,1220234
2020-12-02,441.12,442.79,428.86,436.42,927000
2020-12-03,437.96,444.83,433.83,442.79,573344
2020-12-04,438.03,445.27,432.34,440.20,637950
2020-12-07,447.09,452.49,437.81,438.31,813648
2020-12-08,451.64,464.68,448.71,449.25,1321306
2020-12-09,457.16,460.20,451.39,454.73,651248
2020-12-10,453.26,460.20,448.43,457.76,597506
2020-12-11,457.86,459.20,446.77,454.58,1032716
2020-12-14,462.41,463.68,448.76,452.74,588730
2020-12-15,459.00,461.82,450.25,460.55,464160
2020-12-16,455.62,461.14,452.79,460.15,512468
2020-12-17,469.23,472.64,452.74,455.62,898568
2020-12-18,446.27,459.68,438.06,459.68,11127804
2020-12-21,418.13,449.97,358.43,447.76,2300470
2020-12-22,425.87,437.81,409.08,418.91,1375614
2020-12-23,432.21,434.83,420.32,425.87,2601826
2020-12-24,431.77,437.81,424.43,432.84,1586958
2020-12-28,425.99,436.29,423.38,436.29,981228
2020-12-29,422.11,435.70,419.95,432.89,2171508
2020-12-30,424.10,427.86,418.73,425.37,1182792
2020-12-31,424.18,425.87,418.16,425.87,1303682
2021-01-01,435.50,438.13,421.52,425.37,1512142
2021-01-04,439.43,443.66,431.84,442.79,2693724
2021-01-05,440.12,442.79,434.08,442.56,1533304
2021-01-06,442.56,446.27,434.33,444.28,2616550
2021-01-07,441.79,447.76,438.38,444.75,1155794
2021-01-08,444.58,455.87,441.74,447.26,1975580
2021-01-11,447.49,450.00,434.58,448.18,1128786
2021-01-12,450.17,451.74,445.25,445.52,945394
2021-01-13,444.03,452.21,439.88,452.21,1460602
2021-01-14,454.73,463.43,445.97,445.97,2031400
2021-01-15,457.84,458.66,451.37,454.73,2823654
2021-01-18,442.46,459.68,437.81,458.21,3679398
2021-01-19,447.44,452.46,444.78,445.17,2697278
2021-01-20,457.89,462.81,443.86,450.22,1892468
2021-01-21,454.38,460.10,450.25,458.61,1954442
2021-01-22,446.07,454.90,438.36,454.53,1316030
2021-01-25,440.12,448.76,437.81,448.76,517856
2021-01-27,424.20,443.26,419.15,440.30,1131842
2021-01-28,432.74,436.32,420.40,430.85,612148
2021-01-29,434.08,441.72,429.15,437.81,2255772
2021-02-01,468.43,472.64,443.28,443.28,4617244
2021-02-02,477.96,497.01,465.20,472.86,2260392
2021-02-03,478.86,483.98,469.50,483.98,1622092
2021-02-04,480.07,487.06,468.43,482.06,1703740
2021-02-05,488.51,495.02,480.10,482.59,1494496
2021-02-08,513.61,519.90,491.29,492.39,1715290
2021-02-09,529.03,537.81,516.91,517.31,1642472
2021-02-10,546.77,554.63,526.29,534.33,2290110
2021-02-11,560.15,565.65,539.83,549.20,1413758
2021-02-12,546.91,560.15,525.12,559.70,1594098
2021-02-15,543.08,554.60,527.81,552.24,1182186
2021-02-16,543.66,561.19,534.97,541.79,910852
2021-02-17,546.32,553.36,537.81,543.66,788810
2021-02-18,564.58,574.33,543.01,546.52,2713438
2021-02-19,551.74,563.03,539.10,559.15,1107494
2021-02-22,534.75,561.19,521.39,551.74,924766
2021-02-23,556.44,558.81,532.84,532.84,1345590
2021-02-24,590.20,595.99,567.26,570.10,1143630
2021-02-25,580.45,600.50,576.14,595.52,1272568
2021-02-26,560.45,576.39,542.51,576.12,1706028
2021-03-01,571.37,579.63,560.99,566.17,1508314
2021-03-02,572.89,584.58,567.96,577.06,820394
2021-03-03,597.46,609.45,565.45,578.31,4157400
2021-03-04,630.85,641.79,585.47,590.87,4495046
2021-03-05,627.21,643.61,612.54,633.83,2766040
2021-03-08,628.88,641.79,618.36,634.03,1850242
2021-03-09,613.21,655.20,605.47,626.84,4797950
2021-03-10,623.51,630.85,598.41,623.88,2368024
2021-03-12,624.60,634.23,614.43,625.99,1606326
2021-03-15,591.32,622.74,586.57,621.87,2493444
2021-03-16,611.96,615.75,601.17,602.51,2241050
2021-03-17,582.01,611.44,579.28,611.44,1624500
2021-03-18,579.55,601.99,571.14,595.52,2016656
2021-03-19,595.90,608.13,559.20,559.20,1951116
2021-03-22,608.41,614.30,594.53,601.49,1516070
2021-03-23,619.55,632.79,607.14,614.43,2572168
2021-03-24,609.75,623.71,604.48,614.92,1545916
2021-03-25,572.39,611.91,564.73,611.91,2427582
2021-03-26,586.32,594.97,571.52,579.35,1737178
2021-03-30,646.22,673.83,579.60,596.99,15301252
2021-03-31,610.87,638.33,605.20,636.82,3861914
2021-04-01,630.80,635.82,604.48,621.89,2174106
2021-04-05,611.19,628.86,605.50,627.86,1744942
2021-04-06,608.51,623.88,597.64,612.44,1312928
2021-04-07,613.51,625.60,597.09,608.48,1649224
2021-04-08,622.84,629.35,613.93,616.39,1928416
2021-04-09,584.33,621.89,582.11,621.89,3644778
2021-04-12,535.57,573.63,510.17,573.63,4781980
2021-04-13,537.71,550.20,514.85,535.57,4907432
2021-04-15,525.10,549.25,517.41,537.71,4665216
2021-04-16,535.87,547.01,527.36,527.36,2265092
2021-04-19,505.40,514.92,484.23,514.92,4285190
2021-04-20,518.06,524.88,507.46,509.95,2956612
2021-04-22,544.50,551.72,500.00,502.49,3457122
2021-04-23,535.07,561.44,524.03,542.21,4514366
2021-04-26,523.13,545.27,519.90,537.81,4606752
2021-04-27,540.20,545.75,516.42,522.36,3171274
2021-04-28,571.54,576.62,533.16,544.78,4286394
2021-04-29,559.45,583.08,554.73,569.65,5227672
2021-04-30,499.65,539.30,495.05,533.33,13914750
2021-05-03,459.73,472.64,454.85,472.14,13918522
2021-05-04,455.47,476.34,454.03,467.66,7028910
2021-05-05,468.68,473.86,452.74,462.69,9157548
2021-05-06,476.09,483.58,465.05,473.13,4708810
2021-05-07,462.11,474.25,460.15,470.15,3623924
2021-05-10,471.02,473.08,465.17,469.65,2393210
2021-05-11,482.46,486.64,462.93,464.68,3751410
2021-05-12,475.00,480.10,471.09,477.61,2541974
2021-05-14,471.02,484.33,468.23,480.10,2055776
2021-05-17,468.71,474.88,461.94,474.88,3407218
2021-05-18,490.85,492.81,473.18,475.62,4482588
2021-05-19,489.28,496.44,483.08,490.05,2724008
2021-05-20,477.66,492.21,476.89,487.56,2374412
2021-05-21,487.81,492.01,477.64,477.66,2339704
2021-05-24,486.77,492.46,482.71,490.05,1664390
2021-05-25,479.50,489.50,477.76,489.05,1440724
2021-05-26,479.13,484.08,473.63,482.59,2072998
2021-05-27,488.71,494.53,479.68,481.59,3055092
2021-05-28,495.25,501.49,488.56,492.54,4036076
2021-05-31,491.82,497.51,487.39,496.89,1483674
2021-06-01,492.09,494.92,485.57,492.54,1087324
2021-06-02,502.39,504.95,490.07,491.04,1214768
2021-06-03,500.85,509.65,496.72,507.46,1496266
2021-06-04,498.48,507.61,496.22,500.50,1394052
2021-06-07,508.51,512.36,500.50,501.89,1192896
2021-06-08,501.27,511.99,499.03,511.94,959358
2021-06-09,495.42,507.46,488.18,500.90,1984592
2021-06-10,493.81,498.13,487.56,497.51,1555710
2021-06-11,520.42,529.20,495.52,495.52,7105688
2021-06-14,532.34,537.06,503.26,522.39,4978312
2021-06-15,528.03,541.09,526.02,537.14,2131360
2021-06-16,517.66,529.95,515.52,529.35,985260
2021-06-17,510.60,525.55,501.17,511.44,2451212
2021-06-18,511.27,522.36,501.32,511.39,2959710
2021-06-21,524.08,528.21,499.88,506.44,2042136
2021-06-22,512.56,534.00,509.95,529.90,2402508
2021-06-23,506.04,520.97,504.73,514.00,1221118
2021-06-24,502.56,514.92,500.80,509.95,1929386
2021-06-25,515.22,517.56,505.57,507.24,1451910
2021-06-28,522.61,525.37,511.94,517.41,1324100
2021-06-29,535.97,540.07,517.41,524.13,4420136
2021-06-30,515.35,539.05,513.43,537.41,3223154
2021-07-01,508.78,519.85,507.49,518.41,1801982
2021-07-02,516.84,518.51,509.45,509.45,1452020
2021-07-05,512.61,521.14,508.33,519.88,1312836
2021-07-06,554.38,568.53,525.37,525.37,17155380
2021-07-07,559.70,563.68,542.79,551.74,3085508
2021-07-08,567.86,573.83,553.11,554.73,3931060
2021-07-09,594.38,597.01,562.91,567.66,6379062
2021-07-12,591.04,600.25,585.07,592.51,3577368
2021-07-13,587.91,598.01,586.09,595.02,1555932
2021-07-14,592.93,595.67,587.06,587.56,1123442
2021-07-15,621.09,626.87,592.29,593.03,3966354
2021-07-16,610.67,624.38,608.03,622.64,1111842
2021-07-19,601.22,614.68,585.07,606.91,1575676
2021-07-20,578.01,610.45,575.67,600.94,2574542
2021-07-22,574.38,606.82,570.92,582.84,3750494
